word,sentiment
abandoned,negative
abandonment,negative
abandon,negative
abase,negative
abasement,negative
abash,negative
abate,negative
abdicate,negative
aberration,negative
aberration,negative
abhor,negative
abhor,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abhorrently,negative
abhors,negative
abhors,negative
abidance,positive
abidance,positive
abide,positive
abject,negative
abjectly,negative
abjure,negative
abilities,positive
ability,positive
able,positive
abnormal,negative
abolish,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
above,positive
above-average,positive
abound,positive
abrade,negative
abrasive,negative
abrupt,negative
abscond,negative
absence,negative
absentee,negative
absent-minded,negative
absolve,positive
absolute,neutral
absolutely,neutral
absorbed,neutral
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abundant,positive
abundance,positive
abuse,negative
abuse,negative
abuse,negative
abuses,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
accede,positive
accentuate,neutral
accept,positive
acceptance,positive
acceptable,positive
accessible,positive
accidental,negative
acclaim,positive
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodative,positive
accomplish,positive
accomplishment,positive
accomplishments,positive
accord,positive
accordance,positive
accordantly,positive
accost,negative
accountable,negative
accurate,positive
accurately,positive
accursed,negative
accusation,negative
accusation,negative
accusations,negative
accusations,negative
accuse,negative
accuses,negative
accusing,negative
accusingly,negative
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
achievable,positive
achieve,positive
achievement,positive
achievements,positive
acknowledge,positive
acknowledgement,positive
acquit,positive
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
active,positive
activist,neutral
activist,neutral
actual,neutral
actuality,neutral
actually,neutral
acumen,positive
adamant,negative
adamantly,negative
adaptable,positive
adaptability,positive
adaptive,positive
addict,negative
addiction,negative
adept,positive
adeptly,positive
adequate,positive
adherence,positive
adherent,positive
adhesion,positive
admirable,positive
admirer,positive
admirable,positive
admirably,positive
admiration,positive
admire,positive
admiring,positive
admiringly,positive
admission,positive
admission,positive
admit,positive
admittedly,positive
admonish,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
adolescents,neutral
adolescents,neutral
adorable,positive
adore,positive
adored,positive
adorer,positive
adorer,positive
adoring,positive
adoringly,positive
adrift,negative
adroit,positive
adroitly,positive
adulate,positive
adulation,positive
adulatory,positive
adulterate,negative
adulterated,negative
adulteration,negative
advanced,positive
advantage,positive
advantage,positive
advantageous,positive
advantages,positive
advantages,positive
adventure,positive
adventure,positive
adventuresome,positive
adventurism,positive
adventurous,positive
adversarial,negative
adversary,negative
adverse,negative
adversity,negative
advice,positive
advice,positive
advisable,positive
advocate,positive
advocacy,positive
affable,positive
affability,positive
affably,positive
affect,neutral
affectation,negative
affected,neutral
affection,positive
affection,positive
affectionate,positive
affinity,positive
affirm,positive
affirmation,positive
affirmation,positive
affirmative,positive
afflict,negative
affliction,negative
afflictive,negative
affluent,positive
affluence,positive
afford,positive
affordable,positive
affront,negative
